"location_id","location_name_primary","location_name_secondary","location_detail","location_blockface_elmntkey","location_sidewalk_compkey","location_transit_stop_present","location_neighborhood_type","location_neighborhood","location_character","location_line_typology_vehicular","location_area_typology","location_area_typology_subcategory","location_total_sqft","location_average_number_commercial_seats","location_average_number_public_seats","location_country","location_region","location_city","location_notes"
"CID4","S JACKSON ST","BETWEEN 12TH AVE S AND 14TH AVE S","S","65,554","‎300641","Multiple","Urban Center Village","Chinatown / ID","Commercial","Downtown","Street","Block face","7,175.58","0","4","United States of America","Washington","Seattle",
"COL1","RAINIER AVE S","BETWEEN S FERDINAND ST AND S HUDSON ST","E","12,402","‎316129","None","Residential Urban Village","Columbia City","Commercial","Urban Village Main","Street","Block face","3,151.98","25","3","United States of America","Washington","Seattle",
"COL2","RAINIER AVE S","BETWEEN S EDMUNDS ST AND S FERDINAND ST","W","35,021","‎315132","None","Residential Urban Village","Columbia City","Commercial","Urban Village Main","Street","Block face","4,617.26","0","7","United States of America","Washington","Seattle",
"COM1","JAMES ST","BETWEEN 3RD AVE AND 4TH AVE","SE","56,318","‎324215","Bus","Urban Center Village","Commercial Core","CBD","Downtown","Street","Block face","2,334.56","0","8","United States of America","Washington","Seattle",
"COM2","PIKE ST","BETWEEN 1ST AVE AND 2ND AVE","S","57,502","‎326762","None","Urban Center Village","Commercial Core","CBD","Downtown Neighborhood","Street","Block face","5,047.08","9","0","United States of America","Washington","Seattle",
"COM3","3RD AVE","BETWEEN PIKE ST AND PINE ST","W","49,645","‎326412","Multiple","Urban Center Village","Commercial Core","CBD","Downtown Neighborhood","Street","Block face","3,596.33","0","0","United States of America","Washington","Seattle",
"COM4","1ST AVE","BETWEEN UNIVERSITY ST AND UNION ST","W","68,909","‎326145","None","Urban Center Village","Commercial Core","CBD","Downtown Neighborhood","Street","Block face","4,228.75","7","0","United States of America","Washington","Seattle",
"CRO1","HOLMAN RD NW","BETWEEN 14TH AVE NW AND 13TH W AVE NW","SE","56,226","‎333357","None","Residential Urban Village","Crown Hill","Residential","Urban Village Main","Street","Block face","8,322.28","0","0","United States of America","Washington","Seattle",
"CRO2","NW 85TH ST","BETWEEN 15TH AVE NW AND MARY AVE NW","S","86,970","‎301869","Bus","Residential Urban Village","Crown Hill","Commercial","Urban Village Main","Street","Block face","2,769.9","0","0","United States of America","Washington","Seattle",
"DEN1","VIRGINIA ST","BETWEEN 8TH AVE AND 9TH AVE","SE","35,914","‎325136","None","Urban Center Village","Denny Triangle","CBD","Downtown Neighborhood","Street","Block face","4,473.52","0","0","United States of America","Washington","Seattle",
"DEN2","BLANCHARD ST","BETWEEN 6TH AVE AND 7TH AVE","SE","77,230","‎292456","None","Urban Center Village","Denny Triangle","CBD","Downtown Neighborhood Access","Street","Block face","4,498.88","0","12","United States of America","Washington","Seattle",
"DEN3","7TH AVE","BETWEEN WESTLAKE AVE LENORA ST","SW","53,429","‎292198","None","Urban Center Village","Denny Triangle","CBD","Downtown Neighborhood","Street","Block face","2,206.96","18","18","United States of America","Washington","Seattle",
"DEN4","6TH AVE","BETWEEN BLANCHARD ST AND LENORA ST","SW","8,005","‎292130","None","Urban Center Village","Denny Triangle","Mixed","Downtown","Street","Block face","3,860.92","28","32","United States of America","Washington","Seattle",
"FHT1","9TH AVE","BETWEEN ALDER ST AND JEFFERSON ST","SW","76,401","‎291864","None","Urban Center Village","First Hill / 12th Ave","Medical","Urban Village Neighborhood","Street","Block face","11,178.14","0","0","United States of America","Washington","Seattle",
"FHT2","BROADWAY","BETWEEN MARION ST AND COLUMBIA ST","W","32,257","325439","Multiple","Urban Center Village","First Hill / 12th Ave","Medical","Urban Village Neighborhood","Street","Block face","11,010.19","0","33","United States of America","Washington","Seattle","Includes elmntkey 77365, compkey 3254401"
"FHT3","MADISON ST","BETWEEN TERRY AVE AND BOREN AVE","NW","79,577","‎325795","Bus","Urban Center Village","First Hill / 12th Ave","Commercial","Urban Village Main","Street","Block face","2,103.46","0","4","United States of America","Washington","Seattle",
"FHT4","12TH AVE","BETWEEN E BARCLAY CT AND E JAMES CT","E","46,730","‎311806","None","Urban Center Village","First Hill / 12th Ave","Recreational","Urban Village Neighborhood","Street","Block face","3,037.11","0","0","United States of America","Washington","Seattle",
"FRE1","N 34TH ST","BETWEEN FREMONT AVE N AND TROLL AVE N","N","15,381","‎295828","None","Hub Urban Village","Fremont","Commercial","Urban Village Main","Street","Block face","9,419.45","0","20","United States of America","Washington","Seattle",
"FRE2","FREMONT AVE N","BETWEEN FREMONT PL N AND N 36TH ST","W","33,273","‎293109","None","Hub Urban Village","Fremont","Commercial","Urban Village Neighborhood","Street","Block face","3,662.43","0","16","United States of America","Washington","Seattle",
"GEO1","12TH AVE S","BETWEEN S HARNEY ST AND S VALE ST","E","24,670","‎289181","None","Outside","Georgetown","Commercial","Neighborhood Yield Street","Street","Block face","2,355.41","0","9","United States of America","Washington","Seattle",
"GEO2","AIRPORT WAY S","BETWEEN S DORIS ST AND S NEBRASKA ST","SW","76,594","‎292315","Bus","Outside","Georgetown","Commercial","Industrial Access","Street","Block face","1,771.75","0","0","United States of America","Washington","Seattle",
"GPR1","GREENWOOD AVE N","BETWEEN N 85TH ST AND N 87TH ST","E","10,790","‎305947","Bus","Residential Urban Village","Greenwood - Phinney Ridge","Commercial","Urban Village Neighborhood","Street","Block face","7,932.88","11","0","United States of America","Washington","Seattle",
"GPR2","GREENWOOD AVE N","BETWEEN N 85TH ST AND N 87TH ST","W","10,789","‎310515","None","Residential Urban Village","Greenwood - Phinney Ridge","Commercial","Urban Village Neighborhood","Street","Block face","9,073.88","0","9","United States of America","Washington","Seattle",
"GPR3","GREENWOOD AVE N","BETWEEN N 84TH ST AND N 85TH ST","E","78,690","‎305948","None","Residential Urban Village","Greenwood - Phinney Ridge","Commercial","Urban Village Neighborhood","Street","Block face","2,634.19","0","0","United States of America","Washington","Seattle",
"GPR4","GREENWOOD AVE N","BETWEEN N 74TH ST AND N 75TH ST","W","10,777","‎310764","Bus","Residential Urban Village","Greenwood - Phinney Ridge","Commercial","Urban Village Neighborhood","Street","Block face","2,822.87","8","13","United States of America","Washington","Seattle",
"LAK1","LAKE CITY WAY NE","BETWEEN NE 123RD ST AND 31ST AVE NE","SE","33,814","‎294009","None","Hub Urban Village","Lake City","Commercial","Urban Village Main","Street","Block face","7,299.79","0","2","United States of America","Washington","Seattle","Includes elmntkey 56482 and compkey 294011"
"LAK2","LAKE CITY WAY NE","BETWEEN NE 125TH ST AND NE 127TH ST","NW","79,161","‎294006","None","Hub Urban Village","Lake City","Commercial","Urban Village Main","Street","Block face","12,814.83","0","4","United States of America","Washington","Seattle",
"MAG1","W MCGRAW ST","BETWEEN 32ND AVE W AND 33RD AVE W","N","45,957","‎301662","None","Outside","Magnolia","Commercial","Neighborhood Corridor","Street","Block face","3,300.04","11","29","United States of America","Washington","Seattle",
"MAG2","W MCGRAW ST","BETWEEN 32ND AVE W AND 33RD AVE W","S","45,958","‎300673","None","Outside","Magnolia","Commercial","Neighborhood Corridor","Street","Block face","4,216.26","0","17","United States of America","Washington","Seattle",
"MAM1","E MADISON ST","BETWEEN 23RD AVE E AND 24TH AVE E","NW","36,913","‎309417","None","Residential Urban Village","Madison Miller","Mixed","Urban Village Neighborhood","Street","Block face","4,425.12","0","7","United States of America","Washington","Seattle",
"MAM2","19TH AVE E","BETWEEN E REPUBLICAN ST AND E MERCER ST","E","2,694","‎309830","Bus","Residential Urban Village","Madison Miller","Mixed","Urban Village Neighborhood","Street","Block face","4,281.21","6","6","United States of America","Washington","Seattle",
"MAP1","E MADISON ST","BETWEEN 41ST AVE E AND 42ND AVE E","NW","14,441","‎309421","None","Outside","Madison Park","Commercial","Neighborhood Corridor","Street","Block face","4,646.76","0","16","United States of America","Washington","Seattle",
"MAP2","E MADISON ST","BETWEEN MCGILVRA N BV E AND E BLAINE ST","NW","82,249","‎309423","None","Outside","Madison Park","Commercial","Neighborhood Corridor","Street","Block face","4,078.29","3","10","United States of America","Washington","Seattle",
"MTB1","33RD AVE S","BETWEEN S SPOKANE ST AND RAINIER AVE S","E","73,122","‎315772","None","Hub Urban Village","Mt Baker","Mixed","Urban Village Neighborhood Access","Street","Block face","7,100.13","0","0","United States of America","Washington","Seattle",
"MTB2","RAINIER AVE S","BETWEEN S FOREST ST AND M L KING JR WAY S","SW","12,374","‎320326","Multiple","Hub Urban Village","Mt Baker","Mixed","Urban Village Main","Street","Block face","6,133.25","0","6","United States of America","Washington","Seattle",
"NOR1","5TH AVE NE","BETWEEN NE NORTHGATE WAY AND NE 105TH ST","E (between NE 105th St to driveway north of public library)","7,270","‎308395","Bus","Urban Center","Northgate","Civic","Urban Village Neighborhood","Street","Block face","6,111.45","0","68","United States of America","Washington","Seattle",
"NOR2","NE NORTHGATE WAY","BETWEEN 5TH AVE NE AND 8TH AVE NE","S (between 5th Ave NE and driveway midblock)","85,994","‎312761","Bus","Urban Center","Northgate","Mixed","Urban Village Main","Street","Block face","3,619.66","0","8","United States of America","Washington","Seattle",
"OTH1","M L KING JR ER WAY S","BETWEEN S MYRTLE ST AND S OTHELLO ST","E","122,963","‎641065","Multiple","Residential Urban Village","Othello","Commercial","Urban Village Main","Street","Block face","9,755.54","0","6","United States of America","Washington","Seattle",
"OTH2","M L KING JR ER WAY S","BETWEEN S MYRTLE ST AND S OTHELLO ST","W","122,964","‎322880","Multiple","Residential Urban Village","Othello","Commercial","Urban Village Main","Street","Block face","7,463.3","0","3","United States of America","Washington","Seattle",
"OTH3","42ND AVE S","BETWEEN S MYRTLE S ST AND DEAD END 1","W","6,645","319080","Multiple","Residential Urban Village","Othello","Commercial","Urban Village Main","Street","Block face","3,957.27","18","4","United States of America","Washington","Seattle","Temporary street closure for outdoor eating in response to COVID-19"
"PIK1","BROADWAY","BETWEEN UNION ST AND PIKE ST","E","77,370","‎311673","None","Urban Center Village","Pike/Pine","Commercial","Urban Village Neighborhood","Street","Block face","4,089.74","0","0","United States of America","Washington","Seattle",
"PIK2","10TH AVE","BETWEEN PIKE ST AND PINE ST","W","1,233","‎311368","None","Urban Center Village","Pike/Pine","Commercial","Urban Village Neighborhood Access","Street","Block face","5,705.94","36","0","United States of America","Washington","Seattle",
"PIK3","BROADWAY","BETWEEN PIKE ST AND PINE ST","W","54,725","‎311670","Multiple","Urban Center Village","Pike/Pine","Commercial","Urban Village Neighborhood","Street","Block face","3,679.43","0","0","United States of America","Washington","Seattle",
"PIK4","PINE ST","BETWEEN SUMMIT AVE AND BELMONT AVE","N","60,001","‎312596","Bus","Urban Center Village","Pike/Pine","Mixed","Urban Village Neighborhood","Street","Block face","4,626.57","0","34","United States of America","Washington","Seattle",
"PIK5","MELROSE AVE","BETWEEN PINE ST AND HALFWAY DOWN BLOCK",,"79,742","312006","None","Urban Center Village","Pike/Pine","Mixed","Urban Village Neighborhood","Street","Temporary street closure","8,256.77","12","8","United States of America","Washington","Seattle","Temporary street closure for outdoor eating in response to COVID-19"
"PIO1","2ND AVE EXT S","BETWEEN S MAIN ST AND S WASHINGTON ST","SW","48,125","327335","Bus","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","4,926.9","0","7","United States of America","Washington","Seattle",
"PIO2","S JACKSON ST","BETWEEN 2ND AVE S AND 3RD AVE S","S","88,538","‎332746","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","4,616.14","0","0","United States of America","Washington","Seattle",
"PIO3","1ST AVE","BETWEEN S WASHINGTON ST AND S MAIN ST","W","1,217","‎327083","None","Urban Center Village","Pioneer Square","Commercial","Downtown Neighborhood","Street","Block face","5,754.61","28","0","United States of America","Washington","Seattle",
"PIO4","2ND AVE","BETWEEN YESLER WAY AND JAMES ST","NE","70,726","‎327088","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","2,401.52","44","0","United States of America","Washington","Seattle",
"PIO5","2ND AVE EXT S","BETWEEN S MAIN ST AND S WASHINGTON ST","NE","48,126","327336","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","4,053.92",,,"United States of America","Washington","Seattle",
"PIO6","2ND AVE EXT S","BETWEEN S WASHINGTON ST AND YESLER WAY","SW","48,129","327333","Bus","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","7,886.66",,,"United States of America","Washington","Seattle",
"PIO7","FORTSON SQUARE","2ND AVE EXT S BETWEEN S WASHINGTON ST AND YESLER WAY","NE","48,130","327334","None","Urban Center Village","Pioneer Square","CBD","Downtown","Plaza","Block face","7,032.44",,,"United States of America","Washington","Seattle",
"PIO8","YESLER WAY","BETWEEN 2ND AVE AND 3RD AVE","S(W OF ALLEY)","81,706","325474","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","2,116.98",,,"United States of America","Washington","Seattle",
"PIO10","PREFONTAINE PLACE","425 3RD AVE","MOVING COUNTS IN FRONT OF LIGHTRAIL STATION",,,"Lightrail","Urban Center Village","Pioneer Square","CBD","Downtown","Plaza",,,,,"United States of America","Washington","Seattle",
"PIO11","PREFONTAINE PLACE","425 3RD AVE","STAYING COUNTS WEST OF FOUNTAIN",,,"Lightrail","Urban Center Village","Pioneer Square","CBD","Downtown","Plaza",,"8,421.98",,,"United States of America","Washington","Seattle",
"PIO12","PREFONTAINE PLACE","3RD AVE BETWEEN YESLER AND JAMES ST","SW(SE OF JEFFERSON ALLEY)","27,257","327338","Lightrail","Urban Center Village","Pioneer Square","CBD","Downtown","Plaza","Block face","2,416.4",,,"United States of America","Washington","Seattle",
"PIO14","3RD AVE","BETWEEN YESLER AND JAMES ST","NE(SE OF JEFFERSON ALLEY)","27,258","327339","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","2,500.21",,,"United States of America","Washington","Seattle",
"PIO15","CITY HALL PARK","450 3RD AVE","STAYING COUNTS ON SW HALF",,,"None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face","18,201.72",,,"United States of America","Washington","Seattle",
"PIO16","CITY HALL PARK","450 3RD AVE","STAYING COUNTS ON NE HALF",,,"None","Urban Center Village","Pioneer Square","CBD","Downtown","Park",,"17,714.86",,,"United States of America","Washington","Seattle",
"PIO17","CITY HALL PARK","450 3RD AVE","MOVING COUNTS ON INNER PARK PATH",,,"None","Urban Center Village","Pioneer Square","CBD","Downtown","Park",,,,,"United States of America","Washington","Seattle",
"PIO18","JEFFERSON ST","BETWEEN 3RD AVE AND 4TH AVE","MOVING COUNTS ON JEFFERSON ST ADJACENT TO INNER PARK PATH",,"‎324205","None","Urban Center Village","Pioneer Square","CBD","Downtown","Street","Block face",,,,"United States of America","Washington","Seattle",
"PIO19","OCCIDENTAL AVE S","BETWEEN DEAD END 2 AND S JACKSON ST",,"133,221","328958",,"Urban Center Village","Pioneer Square","CBD","Downtown","Street","Temporary street closure","20,258.74",,,"United States of America","Washington","Seattle","Temporary street closure for outdoor eating in response to COVID-19"
"RAI1","57TH AVE S","BETWEEN RAINIER AVE S AND S FLETCHER ST","E","7,898","‎322058","Bus","Residential Urban Village","Rainier Beach","Commercial","Urban Village Neighborhood","Street","Block face","4,430.76","0","0","United States of America","Washington","Seattle",
"RAI2","RAINIER AVE S","BETWEEN 54TH AVE S AND 56TH AVE S","S","12,434","‎333800","Bus","Residential Urban Village","Rainier Beach","Commercial","Urban Village Main","Street","Block face","6,320.11","0","2","United States of America","Washington","Seattle",
"RAV1","25TH AVE NE","BETWEEN NE BLAKELEY ST AND NE 54TH ST","W","26,665","‎307758","None","Urban Center Village","Ravenna","Mixed","Urban Village Main","Street","Block face","5,469.78","0","0","United States of America","Washington","Seattle",
"RAV2","25TH AVE NE","BETWEEN NE 54TH ST AND NE 55TH ST","W","26,669","‎307756","Bus","Urban Center Village","Ravenna","Commercial","Urban Village Main","Street","Block face","990.72","0","0","United States of America","Washington","Seattle",
"RAV3","25TH AVE NE","BETWEEN NE BLAKELEY ST AND NE 54TH ST","E","26,666","‎307759","Bus","Urban Center Village","Ravenna","Commercial","Urban Village Main","Street","Block face","6,619.6","0","0","United States of America","Washington","Seattle",
"RAV4","25TH AVE NE","BETWEEN NE 54TH ST AND NE 55TH ST","E","26,670","‎307757","None","Urban Center Village","Ravenna","Commercial","Urban Village Main","Street","Block face","1,460.49","0","0","United States of America","Washington","Seattle",
"RSV1","NE 65TH ST","BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE","N","62,457","‎303502","None","Residential Urban Village","Roosevelt","Mixed","Urban Village Neighborhood","Street","Block face","6,569.12","0","11","United States of America","Washington","Seattle",
"RSV2","ROOSEVELT WAY NE","BETWEEN NE 63RD ST AND NE 64TH ST","W","80,593","‎329083","None","Residential Urban Village","Roosevelt","Commercial","Urban Village Main","Street","Block face","2,709.76","0","1","United States of America","Washington","Seattle",
"SLU1","POINTUS AVE N","BETWEEN HARRISON ST AND THOMAS ST","W","34,881","‎294643","None","Urban Center","South Lake Union","Recreational","Urban Village Neighborhood Access","Street","Block face","3,147.14","0","0","United States of America","Washington","Seattle",
"SLU2","TERRY AVE N","BETWEEN  HARRISON ST AND REPUBLICAN ST","E","58,422","‎295070","None","Urban Center","South Lake Union","CBD","Urban Village Neighborhood Access","Street","Block face","8,706.15","0","78","United States of America","Washington","Seattle",
"SLU3","FAIRVIEW AVE N","BETWEEN HARRISON ST AND REPUBLICAN ST","E","55,642","‎293053","Bus","Urban Center","South Lake Union","CBD","Urban Village Main","Street","Block face","4,489.93","0","34","United States of America","Washington","Seattle",
"SLU4","HARRISON ST","BETWEEN WESTLAKE AVE N AND TERRY AVE N","S","78,702","‎293763","None","Urban Center","South Lake Union","CBD","Urban Village Neighborhood Access","Street","Block face","3,568.13","0","0","United States of America","Washington","Seattle",
"SOP1","14TH AVE S","BETWEEN DALLAS AVE S AND S CLOVERDALE ST","W","47,157","‎330951","Bus","Residential Urban Village","South Park","Commercial","Urban Village Main","Street","Block face","3,138.32","0","2","United States of America","Washington","Seattle",
"SOP2","14TH AVE S","BETWEEN S CLOVERDALE ST AND S DONOVAN ST","W","47,161","‎330949","None","Residential Urban Village","South Park","Commercial","Urban Village Main","Street","Block face","2,334.73","0","1","United States of America","Washington","Seattle",
"TUJ1","E UNION ST","BETWEEN 20TH AVE AND 21ST AVE","N","82,797","‎310193","Bus","Residential Urban Village","23rd & Union - Jackson","Mixed","Urban Village Neighborhood","Street","Block face","5,223.99","0","8","United States of America","Washington","Seattle",
"TUJ2","S JACKSON ST","BETWEEN 23RD AVE S AND 25TH AVE S","N","65,565","‎315757","Bus","Residential Urban Village","23rd & Union - Jackson","Commercial","Urban Village Neighborhood","Street","Block face","6,055.4","0","36","United States of America","Washington","Seattle",
"UNI1","UNIVERSITY WAY NE","BETWEEN NE 42ND ST AND NE 43RD ST","W (north from 42nd to crosswalk)","13,213","‎306842","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","2,977.95","0","0.3","United States of America","Washington","Seattle",
"UNI2","UNIVERSITY WAY NE","BETWEEN NE 42ND ST AND NE 43RD ST","E (north from 42nd to crosswalk)","13,214","‎306843","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","2,219.11","0","10","United States of America","Washington","Seattle",
"UNI3","NE 43RD ST","BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE","S (from The Ave Westward to the alley)","39,394","‎307143","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","1,042.72","10","0","United States of America","Washington","Seattle",
"UNI4","NE 42ND ST","BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE","N","16,941","‎307131","None","Urban Center Village","University District","Mixed","Urban Village Neighborhood Access","Street","Block face","1,930.05","0","0","United States of America","Washington","Seattle",
"UNI5","NE 43RD ST","BETWEEN BROOKLYN AVE NE AND UNIVERSITY WAY NE","N","39,393","307144","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","745.02",,,"United States of America","Washington","Seattle",
"UNI6","NE 43RD ST","BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE","N","62,033","307142","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","2,432.05",,,"United States of America","Washington","Seattle",
"UNI7","NE 43RD ST","BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE","S","62,034","307141","None","Urban Center Village","University District","Commercial","Urban Village Neighborhood","Street","Block face","2,632.91",,,"United States of America","Washington","Seattle",
"UPT1","QUEEN ANNE AVE N","BETWEEN REPUBLICAN ST AND MERCER ST","W","34,937","‎298336","Multiple","Urban Center","Uptown","Commercial","Urban Village Main","Street","Block face","6,916.77","0","19","United States of America","Washington","Seattle",
"UPT2","TAYLOR AVE N","BETWEEN JOHN ST AND DENNY WAY","E","35,694","295036","None","Urban Center","Uptown","Mixed","Urban Village Neighborhood Access","Street","Block face","13,504.58","0","18","United States of America","Washington","Seattle",
